,Feature Dataset Name,Feature Class Name
86,,gisdb.GIS.AL_TV_Contour_20100808
87,,gisdb.GIS.AL_Cellular_FCC_20100808
88,,gisdb.GIS.AL_Paging_FCC_20100808
89,,gisdb.GIS.AL_Brdbnd_Edu_Radio_Srvc_10
90,,gisdb.GIS.AL_Land_Mobile_Private_10
91,,gisdb.GIS.AL_Ant_Struct_Reg_FCC_20100808
92,,gisdb.GIS.AL_Land_Mobile_Com_FCC_10
93,,gisdb.GIS.AL_TV_NTSC_FCC_20100808
94,,gisdb.GIS.AL_Land_Mobile_Brdcast_10
95,,gisdb.GIS.AL_Cell_Agg_Callsign_SAB_10
96,,gisdb.GIS.AL_TV_Digital_FCC_20100808
97,,gisdb.GIS.AL_AM_FCC_20100808
98,,
99,GISDB.GIS.Hydrography,GISDB.GIS.Mining_SWPermits_ADEM_20040701
100,,GISDB.GIS.Open_Water_Delta_4_06
101,,GISDB.GIS.Swamp_Marsh_HR_NHDWB
102,,GISDB.GIS.National_Wild_Scenic_Rivers
103,,GISDB.GIS.DRAFT_2004_303d_OpenWater
104,,GISDB.GIS.Springs_USGS_GeoNames
105,,GISDB.GIS.Coastal_Points_DRG24K
106,,gisdb.GIS.NHD_FlowLine_HR
107,,GISDB.GIS.USEPA_ReachFile1
108,,GISDB.GIS.Q3_FloodData_FEMA_1996
109,,GISDB.GIS.USGSCatUnits_DraftHUC12
110,,GISDB.GIS.Major_Creeks_NHD
111,,GISDB.GIS.Streams_USGS_GeoNames
112,,GISDB.GIS.National_Resource_Inv_Waters
113,,gisdb.GIS.NHD_Area_HR
114,,gisdb.GIS.NHD_Waterbody_HR
115,,GISDB.GIS.FEMA_FIRM_Panels
116,,GISDB.GIS.RiverBasin_DraftHUC12
117,,GISDB.GIS.Municipal_Wastewater_HAZUS
118,,GISDB.GIS.USGS_Stations_2002
119,,GISDB.GIS.Census_Waterways
120,,GISDB.GIS.Census_Waterbodies
121,,GISDB.GIS.Aquatic_Endangered_Species
122,,GISDB.GIS.DraftHUC12_1990s_LULC
123,,GISDB.GIS.Dams_HAZUS
124,,GISDB.GIS.Swamp_Marsh_HR_NHDWB_County
125,,GISDB.GIS.DraftHUC12
126,,GISDB.GIS.Coastal_Navigation_Aids_USCG
127,,GISDB.GIS.Reservoirs_USGS_GeoNames
128,,GISDB.GIS.ISW_2006_303d_OpenWater
129,,gisdb.GIS.Final_2012_303d_OpenWater
130,,GISDB.GIS.ISW_2006_303d_Streams
131,,gisdb.GIS.Final_2012_303d_Streams
132,,GISDB.GIS.OpenWater_ALDOTDivisions
133,,GISDB.GIS.OpenWater_CoastalLakesRivers
134,,GISDB.GIS.NRCS_Subwatersheds_11Digit
135,,GISDB.GIS.DRAFT_2004_303d_Streams
136,,GISDB.GIS.Dams_Major_Pts
137,,GISDB.GIS.Rainfall_Annual
138,,GISDB.GIS.NHD_by_County
139,,GISDB.GIS.Swamps_USGS_GeoNames
140,,GISDB.GIS.Mining_Permits_ADEM_20040701
141,,
142,GISDB.GIS.Hypsography,GISDB.GIS.Autauga_Contours_5ft
143,,
144,gisdb.GIS.Reference,gisdb.GIS.StatePlane_EastWest_Line
145,,gisdb.GIS.LL_DD_10ths
146,,gisdb.GIS.Telephone_AreaCodes
147,,gisdb.GIS.LatLon_E_HalfDegPts_Out
148,,gisdb.GIS.Township_Range
149,,gisdb.GIS.Statewide_Section_Boundary
150,,gisdb.GIS.LatLon_N_HalfDegPts_Out
151,,gisdb.GIS.LatLon_W_HalfDegPts_Out
152,,gisdb.GIS.LatLon_S_HalfDegPts_Out
153,,gisdb.GIS.StateRouteShield_Leader
154,,gisdb.GIS.USGS_DOQQ_Index24K
155,,gisdb.GIS.USGSQuads_24K_UTM84
156,,gisdb.GIS.USGSQuads_250K_UTM84
157,,gisdb.GIS.USGSQuads_100K_UTM84
158,,
159,gisdb.GIS.SurfaceOverlays,GISDB.GIS.Aquifers_County
160,,GISDB.GIS.Ecoregions_Level_IV
161,,GISDB.GIS.Geology_County
162,,GISDB.GIS.Nat_Wetland_Inv_100K
163,,GISDB.GIS.Physiographic_Provinces
164,,GISDB.GIS.Soils_STATSGO_County
165,,GISDB.GIS.SSURGO_Soils_WGS84
166,,
167,gisdb.GIS.Transportation,GISDB.GIS.Route_Measured_No_NC
168,,GISDB.GIS.Airport_Polygons_ESRI
169,,GISDB.GIS.Route_Measured
170,,GISDB.GIS.Natl_Major_Hwys_Eastern_US
171,,GISDB.GIS.Tunnels_USGS_GeoNames
172,,GISDB.GIS.State_Designated_Scenic_Byways
173,,GISDB.GIS.Railroad_100K
174,,GISDB.GIS.RouteByFc
175,,GISDB.GIS.Routes_GPS_2000
176,,GISDB.GIS.Roads_Census2006
177,,gisdb.GIS.Interstate_Exits_2011
178,,GISDB.GIS.Traffic_Analysis_Zone_Census2K
179,,gisdb.GIS.ALDOT_MileMarkers_20130320
180,,gisdb.GIS.MMS_20110614
181,,GISDB.GIS.HorizontalAlignments
182,,gisdb.GIS.RR_Crossings_2011
183,,GISDB.GIS.Roads_Census2K
184,,GISDB.GIS.SE_Regional_Interstates
185,,GISDB.GIS.Route
186,,GISDB.GIS.RAMP
187,,GISDB.GIS.Railroad_Node_100K
188,,gisdb.GIS.CONCURRENT_ROUTES
189,,GISDB.GIS.Interstate_Exits
190,,GISDB.GIS.Routes_RoadwayInventory
191,,GISDB.GIS.Airports_NationalAtlas
192,,GISDB.GIS.ROUTELN
193,,GISDB.GIS.Bridge
194,,gisdb.GIS.rail100k_WGS84_20080407
195,,GISDB.GIS.ROUTE_TOMB
196,,GISDB.GIS.Transportation_Terminal_ESRI
197,,gisdb.GIS.Roads_Census10_WGS84
198,,
199,gisdb.TRANSVIEW.Route,gisdb.TRANSVIEW.RoadStateNetwork
200,,
201,GISDB.ENVIRO.TestData,GISDB.ENVIRO.TestData
202,,
203,GISDB.SEREGION.InvasiveSpecies,GISDB.SEREGION.Trees
204,,GISDB.SEREGION.GRASSES
205,,
206,Root,GISDB.ROADWAYINV.FUNCTIONAL_CLASS_CB
207,,GISDB.ROADWAYINV.FUNCTIONAL_CLASSES
208,,GISDB.ROADWAYINV.LANE_COUNT_MP_9_07
209,,GISDB.ROADWAYINV.LANECOUNT_POINTS
210,,GISDB.ROADWAYINV.LANECOUNTS
211,,GISDB.CPMS.Local_CPMS_Project
212,,GISDB.TRANSPLAN.testclass
213,,GISDB.TRANSPLAN.Local_CPMS_Project
214,,GISDB.TRANS.Route
215,,GISDB.TRANS.Route_Measured
216,,GISDB.TRANS.Route_Actual
217,,GISDB.HPMS.HPMS_EVENTS_2004
218,,GISDB.HPMS.HPMS_EVENTS_2005
219,,GISDB.HPMS.HPMS_EVENTS_2006
220,,GISDB.HPMS.HPMS_EVENTS_2007
221,,GISDB.HPMS.HPMS_EVENTS_2008
222,,GISDB.HPMS.HPMS_EVENTS_ALL_YEARS
223,,gisdb.BDRP.BRIDGE_EVENTS_XY_BKUP
224,,gisdb.BDRP.BRIDGE_EVENTS_XY_TEST
225,,GISDB.TRANSDATA.City_Limit
226,,GISDB.TRANSDATA.Urban_Large
227,,GISDB.TRANSDATA.Urban_Large_Study
228,,GISDB.TRANSDATA.Urban_Small
229,,GISDB.OOE.ALHouse
230,,GISDB.OOE.ALSenate
231,,GISDB.OOE.CongressionalDistricts
232,,GISDB.TRANSDATA.Local_CPMS_Project
233,,GISDB.GIS.County_Routes
234,,GISDB.ATRIP.Municpal_Routes_Lines_20120426
235,,GISDB.ATRIP.Intersections_CC1
236,,GISDB.ATRIP.County_Routes_Lines_20120426
237,,GISDB.ATRIP.ATRIP_CC1_Bridge_20120420
238,,GISDB.TRANS.Capacity
239,,GISDB.TRANS.Economic_Vitality
240,,GISDB.TRANS.FunctionalCls
241,,GISDB.TRANS.Lanes
242,,GISDB.TRANS.Pavement
243,,GISDB.TRANS.Routes_GPS_2000
244,,GISDB.TRANS.Routes_RoadwayInventory
245,,GISDB.TRANS.Safety
246,,GISDB.TRANS.Traffic_line
247,,GISDB.TRANS.Traffic_point
248,,GISDB.TRANSDATA.Urban_Large_2000
249,,GISDB.TRANSDATA.Urban_Large_Study_2000
250,,GISDB.TRANSDATA.Urban_Small_2000
251,,GISDB.TRANSDATA.City_Limit_2000
252,,GISDB.BDRP.BRIDGE_EVENTS_XY
253,,GISDB.TRANSDATA.Special_Studies_Centerlines_temp
254,,GISDB.TRANSDATA.Special_Studies_Centerlines
255,,GISDB.ST.MS4_PhaseI_Areas
256,,GISDB.ST.MS4_PhaseII_Areas_2000census
257,,GISDB.RRC.RR_Crossings_reps
258,,GISDB.RRC.Railroads_Census_2012
259,,GISDB.TRANSTEST.Trans_Route
260,,GISDB.RRC.RR_Crossings_10_17
261,,GISDB.ST.Priority_Waters2_lines
262,,GISDB.ST.Priority_Waters1_AL2010_consw_ws
263,,gisdb.GIS.rail100k_WGS84_20140619
264,,GISDB.RRTSP.Autauga_Railroads
265,,GISDB.RRTSP.Baldwin_Railroads
266,,GISDB.RRTSP.Barbour_Railroads
267,,GISDB.RRTSP.Bibb_Railroads
268,,GISDB.RRTSP.Blount_Railroads
269,,GISDB.RRTSP.Butler_Railroads
270,,GISDB.RRTSP.Calhoun_Railroads
271,,GISDB.RRTSP.Chambers_Railroads
272,,GISDB.RRTSP.Chilton_Railroads
273,,GISDB.RRTSP.Choctaw_Railroads
274,,GISDB.RRTSP.Madison_City_Railroads
275,,GISDB.RRTSP.Clarke_Railroads
276,,GISDB.RRTSP.Clay_Railroads
277,,GISDB.RRTSP.Cleburne_Railroads
278,,GISDB.RRTSP.Coffee_Railroads
279,,GISDB.RRTSP.Colbert_Railroads
280,,GISDB.RRTSP.Conecuh_Railroads
281,,GISDB.RRTSP.Coosa_Railroads
282,,GISDB.RRTSP.Covington_Railroads
283,,GISDB.RRTSP.Crenshaw_Railroads
284,,GISDB.RRTSP.Dale_Railroads
285,,GISDB.RRTSP.Dallas_Railroads
286,,GISDB.RRTSP.Dekalb_Railroads
287,,GISDB.RRTSP.Elmore_Railroads
288,,GISDB.RRTSP.Escambia_Railroads
289,,GISDB.RRTSP.Etowah_Railroads
290,,GISDB.RRTSP.Fayette_Railroads
291,,GISDB.RRTSP.Franklin_Railroads
292,,GISDB.RRTSP.Geneva_Railroads
293,,GISDB.RRTSP.Hale_Railroads
294,,GISDB.RRTSP.Henry_Railroads
295,,GISDB.RRTSP.Houston_Railroads
296,,GISDB.RRTSP.Jackson_Railroads
297,,GISDB.RRTSP.Jefferson_Railroads
298,,GISDB.RRTSP.Lamar_Railroads
299,,GISDB.RRTSP.Lawrence_Railroads
300,,GISDB.RRTSP.Lee_Railroads
301,,GISDB.RRTSP.Limestone_Railroads
302,,GISDB.RRTSP.Lowndes_Railroads
303,,GISDB.RRTSP.Macon_Railroads
304,,GISDB.RRTSP.Madison_County_Railroads
305,,GISDB.RRTSP.Marengo_Railroads
306,,GISDB.RRTSP.Marion_Railroads
307,,GISDB.RRTSP.Marshall_Railroads
308,,GISDB.RRTSP.Mobile_Railroads
309,,GISDB.RRTSP.Monroe_Railroads
310,,GISDB.RRTSP.Morgan_Railroads
311,,GISDB.RRTSP.Perry_Railroads
312,,GISDB.RRTSP.Pickens_Railroads
313,,GISDB.RRTSP.Pike_Railroads
314,,GISDB.RRTSP.Randolph_Railroads
315,,GISDB.RRTSP.Russell_Railroads
316,,GISDB.RRTSP.Shelby_Railroads
317,,GISDB.RRTSP.St_Clair_Railroads
318,,GISDB.RRTSP.Sumter_Railroads
319,,GISDB.RRTSP.Talladega_Railroads
320,,GISDB.RRTSP.Tallapoosa_Railroads
321,,GISDB.RRTSP.Walker_Railroads
322,,GISDB.RRTSP.Washington_Railroads
323,,GISDB.RRTSP.Wilcox_Railroads
324,,GISDB.RRTSP.Winston_Railroads
325,,GISDB.CPMS.Segment
326,,GISDB.ROADWAYINV.SEWER_TREATMENT_PLANT
327,,GISDB.ROADWAYINV.TELEPHONE_CABLES
328,,GISDB.ROADWAYINV.TELEPHONE_STATIONS_TOWERS
329,,GISDB.ROADWAYINV.TRIANGULATION_STATIONS
330,,GISDB.ROADWAYINV.WATER_STATIONS
331,,GISDB.ROADWAYINV.WATER_TANKS_TOWERS
332,,GISDB.ROADWAYINV.WATER_TREATMENT_PLANTS
333,,GISDB.CPMS.FiveYearLine
334,,GISDB.CPMS.FiveYearPoint
335,,GISDB.ROADWAYINV.BOAT_RAMPS
336,,GISDB.ROADWAYINV.CAMPS
337,,GISDB.ROADWAYINV.CEMETERIES
338,,GISDB.ROADWAYINV.CHURCHES
339,,GISDB.ROADWAYINV.CITY_HALLS
340,,GISDB.ROADWAYINV.DOCKS_MARINAS
341,,GISDB.ROADWAYINV.FIRESTATIONS
342,,GISDB.ROADWAYINV.GAS_PUMPING_STATIONS
343,,GISDB.ROADWAYINV.GOLF_COURSES_CCLUBS
344,,GISDB.ROADWAYINV.HISTORIC_SITES
345,,GISDB.ROADWAYINV.INDUSTRY_SITES
346,,GISDB.ROADWAYINV.JUNKYARDS
347,,GISDB.ROADWAYINV.LANDFILLS
348,,GISDB.ROADWAYINV.MICROWAVE_TOWERS
349,,GISDB.ROADWAYINV.OIL_GAS_WELLS
350,,GISDB.ROADWAYINV.PEDESTRIAN_WALKWAYS
351,,GISDB.ROADWAYINV.PIPELINES
352,,GISDB.ROADWAYINV.POST_OFFICES
353,,GISDB.ROADWAYINV.POWERLINES
354,,GISDB.ROADWAYINV.POWER_SUBSTATIONS
355,,GISDB.ROADWAYINV.RADIO_STATIONS_TOWERS
356,,GISDB.ROADWAYINV.RAMPS
357,,GISDB.ROADWAYINV.SCHOOLS
358,,GISDB.RRTSP.Cullman_Railroads
359,,GISDB.CPMS.Project
360,,GISDB.RRTSP.Greene_Railroads
361,,GISDB.ST.Construction_Priority_Waters
362,,GISDB.ST.Construction_Priority_Watersheds
363,,GISDB.CPMS.F_SYSTEM_Old
364,,GISDB.TDPS.COUNTERS_PUBLISHED
365,,GISDB.BRIDGE.BRIDGE_XY
366,,GISDB.BRIDGE.PERMITS_MAINTENANCE_LRS
367,,GISDB.BRIDGE.BRIDGE_LRS
368,,GISDB.RRC.RR_CROSSINGS_02_11_15
369,,gisdb.GIS.Regions_Areas_Districts_20150401
370,,GISDB.PEP.AlabamaTerminals
371,,GISDB.PEP.FloridaTerminals
372,,GISDB.PEP.GeorgiaTerminals
373,,GISDB.PEP.LouisianaTerminals
374,,GISDB.PEP.MississippiTerminals
375,,GISDB.PEP.TennesseeTerminals
376,,GISDB.PEP.SouthEastTerminals
377,,GISDB.GIS.All_Routes
378,,GISDB.CPMS.OE_STORM_WATER_DISCHARGE_XY
379,,GISDB.CPMS.F_SYSTEM
380,,GISDB.CPMS.ProjectsPoint
381,,GISDB.CPMS.ProjectsLine
382,,GISDB.CPMS.ProjectsCenterpoint
383,,GISDB.CPMS.ACTIVE_PROJECTS_POINT
384,,GISDB.CPMS.ACTIVE_PROJECTS_LINE
385,,GISDB.EGIS.LRSN_Milepoint
386,,GISDB.EGIS.LRSE_StreetName
387,,GISDB.EGIS.LRSE_Toll
388,,GISDB.EGIS.CountyBoundary
389,,GISDB.EGIS.LRSE_REST_AREAS
390,,GISDB.EGIS.EGIS_REGION_BOUNDARIES
391,,GISDB.EGIS.EGIS_AREA_BOUNDARIES
392,,GISDB.EGIS.LRSE_Structure
393,,GISDB.EGIS.LRSE_StructurePt
394,,GISDB.BRIDGE.BRIDGE_XY_STATE
395,,GISDB.BRIDGE.PERMITS_MAINTENANCE_XY
396,,GISDB.EGIS.LRSE_USRoute
397,,GISDB.EGIS.LRSE_EvacuationRoute
398,,GISDB.BRIDGE.POSTED_BRIDGES_WGS84
399,,GISDB.RRC.RR_Crossings_4_20_16
400,,GISDB.RRC.Railroads
401,,GISDB.EGIS.Counters_Project
402,,GISDB.BRIDGE.POSTED_BRIDGES_NAD83
403,,GISDB.RRC.RR_CROSSINGS05172016
404,,GISDB.RRC.Railroads_NAD83
405,,GISDB.RRC.RR_CROSSINGS_NAD83
406,,GISDB.EGIS.Milepost_Centerline
407,,GISDB.EGIS.Milepost_Map_LRS_WGS84
408,,GISDB.AGOL.SoutheastRailnodes
409,,GISDB.AGOL.SoutheastRailLines
410,,GISDB.RRC.NotePoints
411,,GISDB.EGIS.CityBoundary
412,,GISDB.AGOL.NotePoints
413,,GISDB.ENVIRO.AST_Petrol
414,,GISDB.ROW.EGIS_ROW
415,,GISDB.RRC.RR_CROSSINGS_12212016
416,,GISDB.AGOL.PostedBridgesStatewide
417,,GISDB.AGOL.PostedBridgePoints
418,,GISDB.EGIS.LRSN_Milepoint_Tmprl
419,,GISDB.EGIS.LRSI_Intersection_LRS
420,,GISDB.RRC.RR_CROSSINGS042017
421,,GISDB.EGIS.Milepost_Map_Linear
422,,GISDB.EGIS.Milepost_Map_LRS
423,,GISDB.BRIDGE.BrdigeXY_TEMP
424,,GISDB.ENVIRO.MappingPoints
425,,GISDB.ENVIRO.MappingLines
426,,GISDB.ENVIRO.MappingPolygons
427,,GISDB.ENVIRO.PhotoPoint
428,,GISDB.AGOL.RouteAdding
429,,GISDB.TDPS.EvacCounters
430,,GISDB.RRC.RR_CROSSINGS07212017
431,,GISDB.BRIDGE.BRMBridgeXY
432,,GISDB.ENVIRO.StudyLines
433,,GISDB.ENVIRO.StudyPolygon
434,,GISDB.EGIS.LRSE_Structure_Test
435,,GISDB.PPR.PPR_2017
436,,GISDB.AGOL.LRSE_SpeedLimit
437,,GISDB.EGIS.LRSE_Ownership
438,,GISDB.AGOL.TrafficCounters2018
439,,GISDB.EGIS.LRSE_FSystem
440,,GISDB.EGIS.LRSE_LaneWidth
441,,GISDB.EGIS.LRSE_Median
442,,GISDB.EGIS.LRSE_NHS
443,,GISDB.EGIS.LRSE_ThroughLaneold
444,,GISDB.EGIS.LRSE_UrbanCode
445,,GISDB.EGIS.LRSE_SpeedLimit
446,,GISDB.RRC.RR_CROSSINGS03262018
447,,GISDB.SEREGION.TestFeatureclass
448,,GISDB.SEREGION.SERegion_Fuel_Pumps
449,,GISDB.RRC.UrbanCrossings
450,,GISDB.RRC.RRCROSSINGVALIDATION
451,,GISDB.RRC.UrbanCode
452,,GISDB.SEREGION.Predominant_Routes
453,,GISDB.SEREGION.Stormwater_Discharge_Points
454,,GISDB.RRC.SoutheastRailLines
455,,GISDB.RRC.BTS_Alabama_Railroads
456,,GISDB.SEREGION.SERegoin_Speed_Limit
457,,gisdb.GIS.UrbanArea
458,,gisdb.GIS.StudyArea
459,,GISDB.AGOL.TrafficCounterPoint
460,,GISDB.SEREGION.Bridge_Preservation_TEST1
461,,GISDB.BRM.BridgesXY
462,,GISDB.EGIS.Route
463,,GISDB.BRM.StructurePt
464,,GISDB.EGIS.Signs
465,,GISDB.EGIS.Milemarker
466,,GISDB.EGIS.LRS_SafetyLinks
467,,GISDB.EGIS.LRS_SafetyNodes
468,,GISDB.EGIS.Projects
469,,GISDB.EGIS.LRSE_FacilityType
470,,GISDB.BRM.POSTED_BRIDGES
471,,GISDB.BRM.PostedOffSystemBridgesXY
472,,GISDB.BRM.BridgePreservationXY
473,,GISDB.EGIS.SpeedLimit
474,,GISDB.EGIS.StateBoundary
475,,GISDB.EGIS.UrbanArea
476,,GISDB.CPMS.EGISPROJECTSLINEOLD
477,,GISDB.CPMS.EGISPROJECTSLINETEST
478,,GISDB.CPMS.EGISPROJECTSLINE
479,,GISDB.EGIS.LRSE_ThroughLane
480,,GISDB.EGIS.Senate_Districts
481,,GISDB.EGIS.House_Districts
482,,GISDB.BRM.vwBridgesXY
483,,GISDB.EGIS.RouteMeasured
484,,GISDB.ST.PriorityWaters
485,,GISDB.ST.PriorityWatersheds
486,,GISDB.EGIS.Route2
487,,GISDB.EGIS.LRS_RINV_Divided
488,,GISDB.ROW.NFs_in_Alabama
489,,GISDB.ATRIP.SV_MUNICIPAL_ROUTES
490,,GISDB.ATRIP.SV_INTERSECTIONS
491,,GISDB.ATRIP.SV_BRIDGES
492,,GISDB.ATRIP.SV_COUNTY_ROUTES
493,,GISDB.ATRIP.SV_AXEL_BRIDGES
494,,GISDB.ATRIP.SV_POSTED_BRIDGES
495,,GISDB.CPMS.GeoGISProjectsLineView
496,,GISDB.CPMS.GeoGISProjectsPointView
497,,GISDB.CPMS.STORM_WATER_PROJECTS_LINE_VIEW
498,,GISDB.CPMS.VW_ATRIP_PROJ_LINE
499,,GISDB.CPMS.VW_ATRIP_PROJ_POINT
500,,GISDB.EGIS.vwUSRoute
